 Folio, Ejercicio, Mes, Fecha, Dia, Hora, Tipo_de_accidente, Resolución, Origen_de_reporte, Tipo_de_asentamiento, Nombre_de_asentamiento, Tipo_de_vialidad, Nombre_de_la_Vialidad, Georreferencia, Nota
210-860-087-1846,2021,ABRIL,4/2/2021,Viernes,18:44:00,ALCANCE,SOLUCIONADO,LLAMADA AL 911,COLONIA,NUEVO LEÓN,CALLE,NUEVO LEÓN,"25.6680634, -100.1887767",
210-861-636-1847,2021,ABRIL,4/2/2021,Viernes,21:35:00,DIVERSO,SOLUCIONADO,LLAMADA AL 911,COLONIA,LOS CRISTALES,AVENIDA,AV. ACAPULCO,"25.7224662, -100.2049337",
210-862-275-1848,2021,ABRIL,4/2/2021,Viernes,22:41:00,DIVERSO,SOLUCIONADO,LLAMADA AL 911,COLONIA,LOS CRISTALES,AVENIDA,AV. ACAPULCO,"25.7236997, -100.1991854",
210-863-086-1849,2021,ABRIL,4/3/2021,Sábado,0:09:00,CRUCERO CON PROYECCIÓN,SOLUCIONADO,LLAMADA AL 911,COLONIA,LA ROSITA,CALLE,LAZARO CARDENAS,"25.6705057, -100.2297857",
210-865-497-1851,2021,ABRIL,4/3/2021,Sábado,6:13:00,ALCANCE,SOLUCIONADO,LLAMADA AL 911,COLONIA,ACAPULCO,AVENIDA,AV. ELOY CAVAZOS,"25.6527374, -100.2020777",
210-865-607-1853,2021,ABRIL,4/3/2021,Sábado,6:45:00,ESTRELLAMIENTO,SOLUCIONADO,LLAMADA AL 911,COLONIA,TORRES DE LINDA VISTA,AVENIDA,AV. MIGUEL ALEMAN,"25.6939425, -100.2392333",
210-865-738-1854,2021,ABRIL,4/3/2021,Sábado,7:10:00,CRUCERO,SOLUCIONADO,LLAMADA AL 911,COLONIA,DOS RIOS,AVENIDA,AV. ISRAEL CAVAZOS,"25.676452, -100.1670654",
210-867-342-1862,2021,ABRIL,4/3/2021,Sábado,12:22:00,ALCANCE,SOLUCIONADO,LLAMADA AL 911,COLONIA,DOS RIOS,AVENIDA,AV. ISRAEL CAVAZOS,"25.6777496, -100.1627655",
210-867-407-1864,2021,ABRIL,4/3/2021,Sábado,12:33:00,ALCANCE,SOLUCIONADO,LLAMADA AL 911,COLONIA,VALLES DEL SOL,CALLE,DEL BOSQUE,"25.6554472, -100.1668242",
210-868-091-1865,2021,ABRIL,4/3/2021,Sábado,14:10:00,LATERAL,SOLUCIONADO,LLAMADA AL 911,COLONIA,TORRES DE LINDA VISTA,CALLE,BONIFACIOS SALINAS,"25.6925174, -100.2379327",
210-868-635-1866,2021,ABRIL,4/3/2021,Sábado,15:18:00,ALCANCE,SOLUCIONADO,LLAMADA AL 911,COLONIA,LOS LERMAS,AVENIDA,AV. BENITO JUAREZ,"25.6746601, -100.1931188",
210-867-165-1860,2021,ABRIL,4/4/2021,Domingo,11:54:00,CRUCERO,SOLUCIONADO,LLAMADA AL 911,COLONIA,NUEVO LEÓN,AVENIDA,AV. BENITO JUAREZ,"25.6607072, -100.1502397",
210-878-301-1882,2021,ABRIL,4/4/2021,Domingo,14:16:00,ALCANCE,SOLUCIONADO,LLAMADA AL 911,COLONIA,ZERTUCHE,AVENIDA,AV. PABLO LIVAS,"25.6623864, -100.2006395",
210-881-376-1886,2021,ABRIL,4/4/2021,Domingo,20:43:00,ALCANCE,SOLUCIONADO,LLAMADA AL 911,COLONIA,VILLA ESPAÑOLA,AVENIDA,AV. LOPEZ MATEOS,"25.7030325, -100.214831",
210-881-337-1887,2021,ABRIL,4/4/2021,Domingo,21:24:00,LATERAL,SOLUCIONADO,LLAMADA AL 911,COLONIA,POLICIA AUXILIAR,AVENIDA,AV. RUIZ CORTINES,"25.7092675, -100.1846806",
210-882-470-1888,2021,ABRIL,4/4/2021,Domingo,22:20:00,ALCANCE,SOLUCIONADO,LLAMADA AL 911,COLONIA,ZERTUCHE,AVENIDA,AV. PABLO LIVAS,"25.6623864, -100.2006395",
210-882-981-1890,2021,ABRIL,4/4/2021,Domingo,23:11:00,ESTRELLAMIENTO,SOLUCIONADO,LLAMADA AL 911,COLONIA,VALLE SOLEADO,CALLE,DIA DEL EMPRESARIO,"25.6955699, -100.1588668",
210-883-821-1891,2021,ABRIL,4/5/2021,Lunes,0:43:00,CRUCERO,SOLUCIONADO,LLAMADA AL 911,COLONIA,CENTRO DE GUADALUPE,CALLE,FCO. BARBADILLO,"25.6764984, -100.2622573",
210-885-989-1898,2021,ABRIL,4/5/2021,Lunes,9:52:00,ALCANCE,SOLUCIONADO,LLAMADA AL 911,COLONIA,LUIS MORA,AVENIDA,AV. ELOY CAVAZOS,"25.6585121, -100.2250188",
210-887-094-1900,2021,ABRIL,4/5/2021,Lunes,12:53:00,ALCANCE,SOLUCIONADO,LLAMADA AL 911,COLONIA,SANTA MARIA,AVENIDA,AV. ELOY CAVAZOS,"25.6513869, -100.1974641",
210-886-314-1901,2021,ABRIL,4/5/2021,Lunes,11:32:00,CRUCERO CON PROYECCIÓN,SOLUCIONADO,LLAMADA AL 911,COLONIA,CENTRO DE GUADALUPE,CALLE,ZUAZUA,"25.6764984, -100.2622573",
210-888-596-1904,2021,ABRIL,4/5/2021,Lunes,4:16:00,ALCANCE,SOLUCIONADO,LLAMADA AL 911,COLONIA,SAN RAFAEL,BOULEVARD,BLV. MIGUEL DE LA MADRID,"25.6991612, -100.216928",
210-889-613-1905,2021,ABRIL,4/5/2021,Lunes,18:03:00,LATERAL,SOLUCIONADO,LLAMADA AL 911,COLONIA,LOMAS DE SAN ROQU,AVENIDA,AV. ELOY CAVAZOS,"25.6548351, -100.2172599",
210-890-371-1906,2021,ABRIL,4/5/2021,Lunes,19:21:00,ALCANCE,SOLUCIONADO,LLAMADA AL 911,COLONIA,AZTECA,CALLE,5 DE MAYO,"25.6883481, -100.2607135",
210-890-510-1908,2021,ABRIL,4/5/2021,Lunes,21:24:00,FRONTAL,SOLUCIONADO,LLAMADA AL 911,COLONIA,SANTA MARIA,CALLE,SANTA ROSA DE LIMA,"25.6544887, -100.1927837",
210-891-692-1910,2021,ABRIL,4/5/2021,Lunes,21:40:00,ATROPELLO,SOLUCIONADO,LLAMADA AL 911,COLONIA,VALLES DE LA SILLA,AVENIDA,AV. PABLO LIVAS,"25.6645767, -100.2067862",
210-892-779-1911,2021,ABRIL,4/5/2021,Lunes,23:34:00,LATERAL,SOLUCIONADO,LLAMADA AL 911,COLONIA,BOSQUES DE SAN MIGUEL,CALLE,DULCES NOMBRES,"25.7056622, -100.1626198",
210-895-051-1915,2021,ABRIL,4/6/2021,Martes,8:11:00,ESTRELLAMIENTO,SOLUCIONADO,LLAMADA AL 911,COLONIA,REAL DE SAN MIGUEL,AVENIDA,AV. ACAPULCO,"25.7191294, -100.1976426",
210-895-175-1916,2021,ABRIL,4/6/2021,Martes,8:41:00,ALCANCE,SOLUCIONADO,LLAMADA AL 911,COLONIA,SAN RAFAEL,BOULEVARD,BLV. MIGUEL DE LA MADRID,"25.6934078, -100.2143109",
210-895-569-1918,2021,ABRIL,4/6/2021,Martes,10:16:00,FRONTAL,SOLUCIONADO,LLAMADA AL 911,COLONIA,SAN DIEGO,AVENIDA,AV. BENITO JUAREZ,"25.6783094, -100.234496",
210-895-891-1922,2021,ABRIL,4/6/2021,Martes,10:59:00,ESTRELLAMIENTO,SOLUCIONADO,LLAMADA AL 911,COLONIA,21 DE ENERO,AVENIDA,AV. LOPEZ MATEOS,"25.6871139, -100.2136605",
210-896-621-1923,2021,ABRIL,4/6/2021,Martes,12:44:00,CRUCERO,SOLUCIONADO,LLAMADA AL 911,COLONIA,CENTRO DE GUADALUPE,CALLE,CORREGIDORA,"25.6764984, -100.2622573",
210-899-201-1927,2021,ABRIL,4/6/2021,Martes,17:33:00,DIVERSO,SOLUCIONADO,LLAMADA AL 911,COLONIA,SAN SEBASTIAN,CALLE,SAN SEBASTIAN,"25.656672, -100.207275",
210-900-001-1930,2021,ABRIL,4/6/2021,Martes,18:57:00,ALCANCE,SOLUCIONADO,LLAMADA AL 911,COLONIA,AZTECA,AVENIDA,AV. MORONES PRIETO,"25.6866951, -100.2475927",
210-900-088-1932,2021,ABRIL,4/6/2021,Martes,19:07:00,CRUCERO,SOLUCIONADO,LLAMADA AL 911,COLONIA,LOS CRISTALES,CALLE,MELCHOR OCAMPO,"25.72314, -100.203",
210-901-847-1935,2021,ABRIL,4/6/2021,Martes,22:01:00,DIVERSO,SOLUCIONADO,LLAMADA AL 911,COLONIA,JARDINES DE SAN RAFAEL,AVENIDA,AV. MIGUEL ALEMAN,"25.7025905, -100.2254203",
210-902-050-1937,2021,ABRIL,4/6/2021,Martes,22:25:00,DIVERSO,SOLUCIONADO,LLAMADA AL 911,NO DATO,LA HACIENDA,AVENIDA,AV. BENITO JUAREZ,"25.6794838, -100.2440093",
210-909-068-1947,2021,ABRIL,4/7/2021,Miércoles,17:12:00,CRUCERO,SOLUCIONADO,LLAMADA AL 911,COLONIA,TORRES DE LINDA VISTA,AVENIDA,AV. MIGUEL ALEMAN,"25.6921644, -100.2414663",
210-909-197-1949,2021,ABRIL,4/7/2021,Miércoles,17:25:00,LATERAL,SOLUCIONADO,LLAMADA AL 911,COLONIA,CERRO AZUL,AVENIDA,AV. ISRAEL CAVAZOS,"25.6663747, -100.1744512",
210-909-595-1950,2021,ABRIL,4/7/2021,Miércoles,18:24:00,REVERSA,SOLUCIONADO,LLAMADA AL 911,COLONIA,CENTRAL DE CARGA,AVENIDA,AV. RUIZ CORTINES,"25.7029813, -100.2396083",
210-910-175-1953,2021,ABRIL,4/7/2021,Miércoles,0:00:00,LATERAL,SOLUCIONADO,LLAMADA AL 911,COLONIA,LINDA VISTA,AVENIDA,AV. MIGUEL ALEMAN,"25.6887587, -100.2577394",
210-909-840-1955,2021,ABRIL,4/7/2021,Miércoles,0:00:00,CRUCERO,SOLUCIONADO,LLAMADA AL 911,COLONIA,VALLE HERMOSO,CALLE,SAN SEBASTIAN,"25.6838578, -100.2086125",
210-913-586-1957,2021,ABRIL,4/8/2021,Jueves,2:51:00,ESTRELLAMIENTO,SOLUCIONADO,LLAMADA AL 911,COLONIA,LAS SABINAS,CALLE,ESTEBAN LEAL,"25.6877388, -100.1950251",
210-914-761-1960,2021,ABRIL,4/8/2021,Jueves,8:36:00,ALCANCE,SOLUCIONADO,LLAMADA AL 911,COLONIA,MISIÓN SANTA FE,AVENIDA,AV. ELOY CAVAZOS,"25.6492515, -100.1883311",
210-915-068-1963,2021,ABRIL,4/8/2021,Jueves,9:36:00,FRONTAL,SOLUCIONADO,LLAMADA AL 911,COLONIA,SANTA MARIA,CALLE,CARRETERA REYNOSA,"25.6630115, -100.1515805",
210-915-439-1964,2021,ABRIL,4/8/2021,Jueves,10:37:00,ESTRELLAMIENTO,SOLUCIONADO,LLAMADA AL 911,COLONIA,VICENTE FERRERA,CALLE,MARIA MARTINEZ,"25.6748291, -100.2155063",
210-916-106-1965,2021,ABRIL,4/8/2021,Jueves,12:04:00,LATERAL,SOLUCIONADO,LLAMADA AL 911,COLONIA,JARDINES DE SAN RAFAEL,AVENIDA,AV. LOPEZ MATEOS,"25.6949467, -100.212567",
210-918-413-1968,2021,ABRIL,4/8/2021,Jueves,16:44:00,ALCANCE,SOLUCIONADO,LLAMADA AL 911,COLONIA,20 DE NOVIEMBRE,AVENIDA,AV. BENITO JUAREZ,"25.6731661, -100.2270701",
210-918-461-1969,2021,ABRIL,4/8/2021,Jueves,18:36:00,ALCANCE,SOLUCIONADO,LLAMADA AL 911,COLONIA,EL SABINO,AVENIDA,AV. BENITO JUAREZ,"25.6777442, -100.2310591",
210-920-633-1972,2021,ABRIL,4/8/2021,Jueves,20:30:00,ESTRELLAMIENTO,SOLUCIONADO,LLAMADA AL 911,COLONIA,CACETA DE COBRO,CALLE,AUTOPISTA A REYNOSA,"25.6916745, -100.157699",
210-920-635-1973,2021,ABRIL,4/8/2021,Jueves,20:36:00,ESTRELLAMIENTO,SOLUCIONADO,LLAMADA AL 911,COLONIA,LINDA VISTA,CALLE,VISTA DULCE,"25.6903684, -100.2477033",
210-921-557-1974,2021,ABRIL,4/8/2021,Jueves,22:14:00,DIVERSO,SOLUCIONADO,LLAMADA AL 911,COLONIA,EL RANCHITO,AVENIDA,AV. ISRAEL CAVAZOS,"25.6925752, -100.2337558",
210-922-249-1978,2021,ABRIL,4/8/2021,Jueves,23:42:00,LATERAL,SOLUCIONADO,LLAMADA AL 911,COLONIA,PUESTA DEL SOL,AVENIDA,AV. ELOY CAVAZOS,"25.66335, -100.25754",
210-923-904-1981,2021,ABRIL,4/9/2021,Viernes,5:53:00,DIVERSO,SOLUCIONADO,LLAMADA AL 911,COLONIA,JARDINES DE ANDALUCIA,AVENIDA,AV. ELOY CAVAZOS,"25.6492515, -100.1883311",
210-924-430-1982,2021,ABRIL,4/9/2021,Viernes,8:19:00,ALCANCE CON PROYECCIÓN,SOLUCIONADO,LLAMADA AL 911,COLONIA,NUEVO LEÓN,CALLE,REYNOSA,"25.6598267, -100.1468754",
210-527-704-1154,2021,MARZO,3/1/2021,Lunes,11:54:00,LATERAL,SOLUCIONADO,LLAMADA AL 911,COLONIA,VALLE SOLEADO,AVENIDA,AV. RUIZ CORTINES,"25.7071913, -100.1788625",
210-925-304-1985,2021,ABRIL,4/9/2021,Viernes,10:46:00,LATERAL,SOLUCIONADO,LLAMADA AL 911,COLONIA,ROBLE DE SANTA MARIA,AVENIDA,AV. ISRAEL CAVAZOS,"25.6605628, -100.1825822",
210-528-338-1157,2021,MARZO,3/1/2021,Lunes,9:45:00,LATERAL,SOLUCIONADO,LLAMADA AL 911,COLONIA,FINSA,CALLE,ALBORADA,"25.6933368, -100.1335205",
210-926-077-1988,2021,ABRIL,4/9/2021,Viernes,12:13:00,ESTRELLAMIENTO,SOLUCIONADO,LLAMADA AL 911,COLONIA,SAN RAFAEL,CALLE,ALDAMA,"25.6947987, -100.2192327",
210-529-465-1163,2021,MARZO,3/1/2021,Lunes,12:10:00,LATERAL,SOLUCIONADO,LLAMADA AL 911,COLONIA,NUEVA EXPOSICION,AVENIDA,AV. BENITO JUAREZ,"25.6799009, -100.2468002",
210-928-341-1990,2021,ABRIL,4/9/2021,Viernes,15:41:00,ESTRELLAMIENTO,SOLUCIONADO,LLAMADA AL 911,COLONIA,CONTRY,CALLE,VALLE DE AGUAYO,"25.6584438, -100.266669",
210-536-171-1175,2021,MARZO,3/2/2021,Martes,8:04:00,ALCANCE,SOLUCIONADO,LLAMADA AL 911,COLONIA,LIBERTAD,BOULEVARD,BLV. MIGUEL DE LA MADRID,"25.6912612, -100.2403411",
210-927-899-1991,2021,ABRIL,4/9/2021,Viernes,14:54:00,LATERAL,SOLUCIONADO,LLAMADA AL 911,COLONIA,CAMINO REAL,CALLE,LAS REYNAS,"25.6690775, -100.2279681",
210-537-373-1177,2021,MARZO,3/2/2021,Martes,11:40:00,ALCANCE,SOLUCIONADO,LLAMADA AL 911,COLONIA,LOS LERMAS,AVENIDA,AV. BENITO JUAREZ,"25.6746126, -100.2003283",
210-929-222-1992,2021,ABRIL,4/9/2021,Viernes,17:27:00,CRUCERO,SOLUCIONADO,LLAMADA AL 911,COLONIA,PEDREGAL DE GUADALUPE,AVENIDA,AV. ISRAEL CAVAZOS,"25.6606851, -100.1786661",
210-537-162-1179,2021,MARZO,3/2/2021,Martes,11:09:00,LATERAL,SOLUCIONADO,LLAMADA AL 911,COLONIA,LIBERTAD,BOULEVARD,BLV. MIGUEL DE LA MADRID,"25.6925752, -100.2337558",
210-934-361-1996,2021,ABRIL,4/10/2021,Sábado,2:16:00,ESTRELLAMIENTO,SOLUCIONADO,LLAMADA AL 911,COLONIA,RINCÓN DE GUADALUPE,AVENIDA,AV. ISRAEL CAVAZOS,"25.65567, -100.1831041",
210-538-831-1184,2021,MARZO,3/2/2021,Martes,15:04:00,LATERAL,SOLUCIONADO,LLAMADA AL 911,FRACCIONAMIENTO,FRACC. HERCULES,AVENIDA,AV. LAS AMÉRICAS,"25.7012641, -100.2482304",
210-934-796-1997,2021,ABRIL,4/10/2021,Sábado,3:21:00,ESTRELLAMIENTO,SOLUCIONADO,LLAMADA AL 911,COLONIA,DOS RIOS,CALLE,RIO VOLGA,"25.6782262, -100.1606316",
210-540-428-1188,2021,MARZO,3/2/2021,Martes,18:27:00,CRUCERO,SOLUCIONADO,LLAMADA AL 911,COLONIA,CENTRO DE GUADALUPE,CALLE,MIER Y NORIEGA,"25.6764984, -100.2622573",
210-936-386-1999,2021,ABRIL,4/10/2021,Sábado,9:05:00,ESTRELLAMIENTO,SOLUCIONADO,LLAMADA AL 911,COLONIA,LA FLORESTA,AVENIDA,AV. LOPEZ MATEOS,"25.6948817, -100.2121755",
210-541-062-1189,2021,MARZO,3/2/2021,Martes,19:43:00,ALCANCE,SOLUCIONADO,LLAMADA AL 911,COLONIA,GUILLERMO PRIETO,CALLE,NEMESIO GARCIA NARANJO,"25.704209, -100.2547127",
210-938-118-2004,2021,ABRIL,4/10/2021,Sábado,12:58:00,DIVERSO,SOLUCIONADO,LLAMADA AL 911,COLONIA,21 DE ENERO,CALLE,12 DE OCTUBRE,"25.6847274, -100.2239167",
210-544-374-1194,2021,MARZO,3/3/2021,Miércoles,10:11:00,DIVERSO,SOLUCIONADO,LLAMADA AL 911,COLONIA,XOCHIMILCO,CALLE,XOCHIMILCO,"25.6499596, -100.1743545",
210-939-163-2009,2021,ABRIL,4/10/2021,Sábado,15:08:00,ALCANCE CON PROYECCIÓN,SOLUCIONADO,LLAMADA AL 911,COLONIA,21 DE ENERO,AVENIDA,AV. MORONES PRIETO,"25.6837509, -100.2521299",
210-544-518-1195,2021,MARZO,3/3/2021,Miércoles,9:50:00,LATERAL,SOLUCIONADO,LLAMADA AL 911,COLONIA,ARBOLEDAS DE NUEVA LINDA VISTA,AVENIDA,AV. MIGUEL ALEMAN,"25.7094632, -100.2223773",
210-939-146-2013,2021,ABRIL,4/10/2021,Sábado,14:54:00,CRUCERO,SOLUCIONADO,LLAMADA AL 911,COLONIA,NUEVA LIBERTAD,AVENIDA,AV. RUIZ CORTINES,"25.7031793, -100.2505992",
210-545-217-1199,2021,MARZO,3/3/2021,Miércoles,12:01:00,ALCANCE,SOLUCIONADO,LLAMADA AL 911,COLONIA,10 DE MAYO,BOULEVARD,BLV. MIGUEL DE LA MADRID,"25.6925752, -100.2337558",
210-949-159-2023,2021,ABRIL,4/11/2021,Domingo,7:30:00,ESTRELLAMIENTO,SOLUCIONADO,LLAMADA AL 911,COLONIA,BOSQUES DE LA PASTORA,AVENIDA,AV. AMÉRICAS,"25.6614241, -100.2523441",
210-545-679-1203,2021,MARZO,3/3/2021,Miércoles,13:44:00,ESTRELLAMIENTO,SOLUCIONADO,LLAMADA AL 911,COLONIA,VIVIENDA POPULAR,CALLE,LAZARO CARDENAS,"25.6714562, -100.2323415",
210-950-937-2025,2021,ABRIL,4/11/2021,Domingo,12:25:00,CRUCERO,SOLUCIONADO,LLAMADA AL 911,COLONIA,13 DE MAYO,CALLE,13 DE MAYO,"25.6673388, -100.2210451",
210-551-606-1207,2021,MARZO,3/4/2021,Jueves,1:29:00,ALCANCE,SOLUCIONADO,LLAMADA AL 911,COLONIA,SANTA CRUZ,AVENIDA,AV. REYNOSA,"25.6721582, -100.186559",
210-755-326-2029,2021,ABRIL,4/11/2021,Domingo,20:57:00,ESTRELLAMIENTO,SOLUCIONADO,LLAMADA AL 911,COLONIA,S.C.O.P,CALLE,COMUNICACIONES,"25.6640029, -100.1952364",
210-551-660-1208,2021,MARZO,3/4/2021,Jueves,1:34:00,ESTRELLAMIENTO,SOLUCIONADO,LLAMADA AL 911,COLONIA,RINCÓN CONTRY,CALLE,CHAPULTEPEC,"25.6594906, -100.2635343",
210-959-866-2032,2021,ABRIL,4/12/2021,Lunes,6:47:00,ESTRELLAMIENTO,SOLUCIONADO,LLAMADA AL 911,COLONIA,BUROCRATAS MUNICIPALES,CALLE,NERIO RIOS,"25.6504557, -100.2110625",
210-554-065-1213,2021,MARZO,3/4/2021,Jueves,12:16:00,LATERAL,SOLUCIONADO,LLAMADA AL 911,COLONIA,VALLE SOLEADO,AVENIDA,AV. ISRAEL CAVAZOS,"25.7055162, -100.1641761",
210-961-165-2037,2021,ABRIL,4/12/2021,Lunes,11:01:00,ATROPELLO,SOLUCIONADO,LLAMADA AL 911,COLONIA,FOMERREY 18,CALLE,CUERNAVACA,"25.6960733, -100.2059724",
210-554-823-1217,2021,MARZO,3/4/2021,Jueves,13:57:00,ALCANCE,SOLUCIONADO,LLAMADA AL 911,COLONIA,21 DE ENERO,AVENIDA,AV. MORONES PRIETO,"25.6837509, -100.2521299",
210-962-144-2040,2021,ABRIL,4/12/2021,Lunes,13:06:00,CRUCERO,SOLUCIONADO,LLAMADA AL 911,COLONIA,IGNACIO ZARAGOZA,CALLE,LAZARO CARDENAS,"25.6828716, -100.2305559",
210-555-507-1220,2021,MARZO,3/4/2021,Jueves,15:38:00,ESTRELLAMIENTO,SOLUCIONADO,LLAMADA AL 911,FRACCIONAMIENTO,FRACC. LAS TERRASSAS,CALLE,CHAMBRE,"25.6428628, -100.2229718",
210-962-014-2041,2021,ABRIL,4/12/2021,Lunes,12:49:00,LATERAL,SOLUCIONADO,LLAMADA AL 911,COLONIA,LOS CRISTALES,AVENIDA,AV. ACAPULCO,"25.723402, -100.2026596",
210-559-379-1224,2021,MARZO,3/4/2021,Jueves,22:23:00,ESTRELLAMIENTO,SOLUCIONADO,LLAMADA AL 911,COLONIA,LA PURISIMA,CALLE,SANTA CLAUDIA,"25.7056724, -100.2356652",
210-962-364-2042,2021,ABRIL,4/12/2021,Lunes,14:59:00,LATERAL,SOLUCIONADO,LLAMADA AL 911,COLONIA,15 DE MAYO,AVENIDA,AV. ELOY CAVAZOS,"25.6621879, -100.2323261",
210-559-949-1227,2021,MARZO,3/4/2021,Jueves,23:30:00,ALCANCE,SOLUCIONADO,LLAMADA AL 911,COLONIA,LA VICTORIA,AVENIDA,AV. RUIZ CORTINES,"25.7027037, -100.2254197",
210-962-545-2043,2021,ABRIL,4/12/2021,Lunes,14:24:00,LATERAL,SOLUCIONADO,LLAMADA AL 911,COLONIA,LA PLAYA,AVENIDA,AV. ELOY CAVAZOS,"25.6543694, -100.2086467",
210-562-834-1233,2021,MARZO,3/5/2021,Viernes,10:22:00,ALCANCE,SOLUCIONADO,LLAMADA AL 911,COLONIA,LINDA VISTA,AVENIDA,AV. MIGUEL ALEMAN,"25.6906224, -100.252421",
210-963-942-2047,2021,ABRIL,4/12/2021,Lunes,16:46:00,REVERSA,SOLUCIONADO,LLAMADA AL 911,COLONIA,POLANCO,CALLE,SIXTO VERDUZCO,"25.6701227, -100.2642572",
210-564-092-1236,2021,MARZO,3/5/2021,Viernes,0:00:00,CRUCERO,SOLUCIONADO,LLAMADA AL 911,COLONIA,ALAMEDA DE LA HACIENDA,AVENIDA,AV. LAS AMÉRICAS,"25.6723676, -100.249073",
210-965-672-2053,2021,ABRIL,4/12/2021,Lunes,20:25:00,ESTRELLAMIENTO,SOLUCIONADO,LLAMADA AL 911,COLONIA,NIÑOS HEROES,CALLE,MONTES DE LEÓN,"25.6630195, -100.1793924",
210-566-301-1241,2021,MARZO,3/5/2021,Viernes,16:59:00,LATERAL,SOLUCIONADO,LLAMADA AL 911,COLONIA,TOLTECA,AVENIDA,AV. ELOY CAVAZOS,"25.6620622, -100.2396799",
210-965-891-2054,2021,ABRIL,4/12/2021,Lunes,20:41:00,ATROPELLO,SOLUCIONADO,LLAMADA AL 911,COLONIA,CAMPESTRE LA SILLA,CALLE,MANANTIAL,"25.6475152, -100.2034604",
210-566-691-1242,2021,MARZO,3/5/2021,Viernes,17:46:00,LATERAL,SOLUCIONADO,LLAMADA AL 911,COLONIA,LIBERTAD,BOULEVARD,BLV. MIGUEL DE LA MADRID,"25.6925752, -100.2337558",
210-969-301-2056,2021,ABRIL,4/13/2021,Martes,8:26:00,ALCANCE,SOLUCIONADO,LLAMADA AL 911,COLONIA,LA VICTORIA,AVENIDA,AV. RUIZ CORTINES,"25.7027037, -100.2254197",
210-568-211-1245,2021,MARZO,3/5/2021,Viernes,19:47:00,ALCANCE,SOLUCIONADO,LLAMADA AL 911,COLONIA,LIBERTAD,BOULEVARD,BLV. MIGUEL DE LA MADRID,"25.6925752, -100.2337558",
210-970-046-2060,2021,ABRIL,4/13/2021,Martes,16:47:00,LATERAL,SOLUCIONADO,LLAMADA AL 911,COLONIA,SAN SEBASTIAN,CALLE,PETROQUIMICA,"25.664989, -100.2073674",
210-567-794-1246,2021,MARZO,3/5/2021,Viernes,19:15:00,CRUCERO,SOLUCIONADO,LLAMADA AL 911,COLONIA,JARDINES DEL RIO,CALLE,DIA DEL EMPRESARIO,"25.7002149, -100.1857342",
